Paper_ID;Domain;Phylum;Class;Order;Family;Genus ;Species;Baseline;Baseline_type;N;Methodology;Ramping (min);Ramping_rate;Ramping_unit;Acclimatation;Treatment;Treatment_group;Response_type_I;Response_type_group;Response_type_II;Response;Response_revised;Value;Delta_Value;Ecological_Classification;Adaptation;Morphological_Adaptation;Body_size;Notes;Compiler
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;konradi;8,5;Habitat temperature;32;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;15;6,5;Troglobiont/Stygobiont;High;High;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;lanai;9,2;Habitat temperature;14;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;12;2,8;Troglobiont/Stygobiont;High;High;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;pedemontanus;8,9;Habitat temperature;15;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;14;5,1;Troglobiont/Stygobiont;High;High;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;bornensis;8,7;Habitat temperature;11;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;11;2,3;Troglophile/Stygophile;Low;Intermediate;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;iulianae;10;Habitat temperature;24;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;14;4;Troglophile/Stygophile;Low;Intermediate;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;nigrerosae;6,6;Habitat temperature;22;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;13;6,4;Troglophile/Stygophile;Low;Intermediate;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;lucifer;6,7;Habitat temperature;31;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;30;23,3;Troglophile/Stygophile;Low;Low;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;lucifuga;6,65;Habitat temperature;21;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;19;12,35;Troglophile/Stygophile;Low;Low;NA;-;Stefano Mammola
CC_0001;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;pluto;9;Habitat temperature;18;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;18;9;Troglophile/Stygophile;Low;Low;NA;-;Stefano Mammola
Alert_00002;Terrestrial;Arthopoda;Arachnida;Araneae;Linyphiidae;Troglohyphantes;achillis;7,74;Habitat temperature;34;Dynamic;1440;1;°C;yes;Temperature;Temperature;Lethal;Lethal;Tolerance limits;LT100;LT100;NA;13;Troglophile/Stygophile;Low;Intermediate;NA;Value provided as delta in the paper.;Stefano Mammola
